店铺id,用户名称,评论,星级,时间
178813840,大师兄_他爹,一定要十五字？一定要十五字？一定要十五字？,30,1.55E+12
178813840,大师兄_他爹,为什么一定要十五个字呢？有毛病吧！,30,1.55E+12
178813840,匿名用户,味道不错！ 为什么一定要十五个字？美图！,30,1.54E+12
177508961,匿名用户,emmm……漂亮小姐姐没有给我笔和纸写问题呀……不过这个图案挺可爱，我推荐一下四季春臻奶霜降好喝٩�ི۶,40,1.53E+12
177508961,bNn813202990,真的是，喝一次拉一次肚子，亲自看到有人从茶里喝到钉子！！,10,1.54E+12
177508961,匿名用户,想着找间奶茶店安静地坐一下，但是二楼有3个小孩在跑来跑去地吵闹，就是声音分贝很高那种吵，坐了两个小时吵得我头晕，本来想给1星的，还是给3星吧。环境还可以。,30,1.53E+12
177508961,安小郁,前台小姐姐很漂亮,40,1.54E+12
177508961,吴旭洲888,口味一般，玫瑰臻奶霜降，喝不出特别的感觉，还是有待改善吧,20,1.53E+12
177508961,流泪的不倒翁,口味有点淡，一般般吧，没有想象中那么好喝,30,1.53E+12
177508961,是不是傻啊。。,还好吧！一下子买了两杯，不过没有料。都是水。一般般，还可以吧！,30,1.53E+12
177508961,谦虚少女Z,主要还是因为这个价钱勉强接受，环境不错。,20,1.53E+12
177508961,lemon花花花花,还可以吧！就是不是怎么好喝！环境新开的总体可以,20,1.53E+12
177508961,oEK217439242,卫生不好，服务员用嘴喝摇匀杯来尝甜度,10,1.53E+12
177508961,pIn587765056,服务很好，给九十九分，多一分怕你骄傲。,40,1.53E+12
169324146,匿名用户,所有的奶茶店只喝答案茶，甜中带咸很�️我心，军旅 Tom KTV因为我大旅途中我垃圾食品看看咯一组图图图看看咯 www痛快淋漓去我饿了旅途中辛辛苦苦兔窝里去哪里托DJ图图啦就是普通兔兔看了剧透我吐了经济收入痛啊老将军坟,30,1.55E+12
169324146,匿名用户,还行吧，价格实惠，买过很多次了。,30,1.55E+12
169324146,rPY296637827,还行吧！讨厌喝甜腻的，答案茶算是口感比较清新的，不过貌似涨价了,30,1.55E+12
169324146,匿名用户,一下子忘记说不要冰，饮品最后变得口味淡了，店员也没问一句，希望下次能主动一些,40,1.54E+12
169324146,DrC334336035,还可以吧，杯子很精致，但是布丁一般般，不过这个价格的话也是蛮不错的,30,1.54E+12
169324146,匿名用户,不错，就是口味有点淡，不是很浓。,30,1.53E+12
169324146,匿名用户,还行吧，几块钱的东西都差不多。,30,1.54E+12
169324146,dora_A.c,为什么我的答案茶没有答案！挑了个最贵的喝，结果结账时才发现降价成最便宜的了，就是红豆奶茶嘛，什么多福满茶奶，切。,30,1.53E+12
169324146,jbt1976,珍珠和某波波奶茶的没法比，太硬了，口感不好,30,1.53E+12
